trip_id,starttime,stoptime,bikeid,left(bikeid,right bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear
86945,6/8/15 14:57,6/8/15 16:55,SEA00159,SEA,00159,7113.829,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,EL-01,EL-01,Short-Term Pass Holder,NULL,NULL
128039,8/13/15 13:37,8/13/15 13:46,SEA00116,SEA,00116,503.85,Westlake Ave & 6th Ave,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,SLU-15,EL-01,Annual Member,Male,1989
76360,5/20/15 12:31,5/20/15 12:42,SEA00473,SEA,00473,655.442,E Pine St & 16th Ave,2nd Ave & Blanchard St,CH-07,BT-05,Annual Member,Male,1985
41673,2/28/15 11:48,2/28/15 12:15,SEA00138,SEA,00138,1590.167,UW Engineering Library / E Stevens Way NE & Jefferson Rd,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,UW-06,UD-01,Short-Term Pass Holder,NULL,NULL
19029,12/4/14 12:00,12/4/14 12:07,SEA00457,SEA,00457,403.754,1st Ave & Marion St,6th Ave S & S King St,CBD-05,ID-04,Annual Member,Female,1973
44402,3/7/15 17:18,3/7/15 19:19,SEA00223,SEA,00223,7217.282,2nd Ave & Spring St,1st Ave & Marion St,CBD-06,CBD-05,Short-Term Pass Holder,NULL,NULL
19149,12/4/14 18:44,12/4/14 18:57,SEA00308,SEA,00308,787.732,Pine St & 9th Ave,12th Ave & E Denny Way,SLU-16,CH-06,Annual Member,Male,1982
4723,10/21/14 20:00,10/21/14 20:05,SEA00494,SEA,00494,331.49,Frye Art Museum / Terry Ave & Columbia St,Seattle University / E Columbia St & 12th Ave,FH-01,FH-04,Annual Member,Male,1983
119776,7/31/15 15:35,7/31/15 15:50,SEA00106,SEA,00106,907.041,Republican St & Westlake Ave N,1st Ave & Marion St,SLU-04,CBD-05,Annual Member,Male,1981
137806,8/31/15 10:12,8/31/15 10:26,SEA00025,SEA,00025,854.465,E Harrison St & Broadway Ave E,Bellevue Ave & E Pine St,CH-02,CH-12,Annual Member,Male,1977
142965,9/11/15 13:08,9/11/15 13:23,SEA00394,SEA,00394,862.711,3rd Ave & Broad St,2nd Ave & Pine St,BT-01,CBD-13,Short-Term Pass Holder,NULL,NULL
52994,4/1/15 13:10,4/1/15 13:20,SEA00329,SEA,00329,596.304,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2nd Ave & Vine St,WF-04,BT-03,Short-Term Pass Holder,NULL,NULL
148226,9/23/15 9:39,9/23/15 9:47,SEA00048,SEA,00048,459.813,E Pine St & 16th Ave,Terry Ave & Stewart St,CH-07,SLU-20,Annual Member,Male,1991
120107,8/1/15 9:53,8/1/15 11:28,SEA00141,SEA,00141,5747.077,2nd Ave & Blanchard St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,BT-05,PS-05,Short-Term Pass Holder,NULL,NULL
33687,2/2/15 16:55,2/2/15 17:13,SEA00125,SEA,00125,1105.373,1st Ave & Marion St,Republican St & Westlake Ave N,CBD-05,SLU-04,Annual Member,Male,1981
113442,7/21/15 11:52,7/21/15 11:57,SEA00267,SEA,00267,269.4,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,Republican St & Westlake Ave N,EL-01,SLU-04,Annual Member,Male,1986
114147,7/22/15 14:24,7/22/15 15:04,SEA00303,SEA,00303,2392.234,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,3rd Ave & Broad St,WF-04,BT-01,Short-Term Pass Holder,NULL,NULL
66613,5/1/15 10:39,5/1/15 10:51,SEA00413,SEA,00413,681.962,3rd Ave & Broad St,2nd Ave & Spring St,BT-01,CBD-06,Annual Member,Male,1985
93178,6/18/15 17:28,6/18/15 18:03,SEA00150,SEA,00150,2120.315,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,2nd Ave & Vine St,UD-01,BT-03,Short-Term Pass Holder,NULL,NULL
27632,1/12/15 13:46,1/12/15 14:09,SEA00267,SEA,00267,1342.58,Cal Anderson Park / 11th Ave & Pine St,REI / Yale Ave N & John St,CH-08,SLU-01,Short-Term Pass Holder,NULL,NULL
75983,5/19/15 17:21,5/19/15 17:25,SEA00303,SEA,00303,240.652,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Annual Member,Male,1976
107856,7/13/15 7:47,7/13/15 7:52,SEA00290,SEA,00290,282.761,Summit Ave E & E Republican St,Harvard Ave & E Pine St,CH-03,CH-09,Annual Member,Male,1982
132355,8/20/15 19:05,8/20/15 19:15,SEA00029,SEA,00029,636.529,7th Ave & Union St,E Blaine St & Fairview Ave E,CBD-03,EL-03,Annual Member,Male,1985
76143,5/19/15 21:53,5/19/15 22:13,SEA00394,SEA,00394,1171.101,UW Intramural Activities Building,9th Ave N & Mercer St,UW-07,DPD-01,Annual Member,Male,1986
14903,11/18/14 12:23,11/18/14 12:25,SEA00330,SEA,00330,84.066,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Annual Member,Male,1987
71591,5/10/15 14:52,5/10/15 16:04,SEA00289,SEA,00289,4302.691,Pier 69 / Alaskan Way & Clay St,9th Ave N & Mercer St,WF-01,DPD-01,Short-Term Pass Holder,NULL,NULL
73414,5/14/15 18:11,5/14/15 18:16,SEA00056,SEA,00056,289.863,Republican St & Westlake Ave N,Dexter Ave N & Aloha St,SLU-04,SLU-02,Annual Member,Male,1981
104508,7/7/15 20:10,7/7/15 20:17,SEA00261,SEA,00261,438.508,2nd Ave & Spring St,6th Ave S & S King St,CBD-06,ID-04,Annual Member,Male,1983
94112,6/20/15 13:12,6/20/15 13:27,SEA00304,SEA,00304,914.273,6th Ave & Blanchard St,3rd Ave & Broad St,BT-04,BT-01,Short-Term Pass Holder,NULL,NULL
10814,11/7/14 17:46,11/7/14 18:00,SEA00172,SEA,00172,837.798,9th Ave N & Mercer St,Summit Ave E & E Republican St,DPD-01,CH-03,Annual Member,Male,1985
25104,1/1/15 2:01,1/1/15 2:09,SEA00483,SEA,00483,463.284,3rd Ave & Broad St,2nd Ave & Vine St,BT-01,BT-03,Short-Term Pass Holder,NULL,NULL
77167,5/21/15 18:05,5/21/15 18:59,SEA00259,SEA,00259,3227.047,6th Ave S & S King St,6th Ave S & S King St,ID-04,ID-04,Short-Term Pass Holder,NULL,NULL
52393,3/30/15 17:16,3/30/15 17:24,SEA00248,SEA,00248,510.907,2nd Ave & Vine St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,BT-03,WF-04,Annual Member,Female,1950
134807,8/25/15 5:55,8/25/15 5:58,SEA00301,SEA,00301,169.542,2nd Ave & Spring St,2nd Ave & Pine St,CBD-06,CBD-13,Annual Member,Male,1982
128818,8/15/15 8:21,8/15/15 8:26,SEA00148,SEA,00148,311.938,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,WF-04,WF-01,Annual Member,Female,1950
17553,11/27/14 14:41,11/27/14 15:17,SEA00496,SEA,00496,2212.236,12th Ave & NE Campus Pkwy,E Harrison St & Broadway Ave E,UD-04,CH-02,Short-Term Pass Holder,NULL,NULL
89507,6/12/15 20:30,6/12/15 20:38,SEA00385,SEA,00385,488.129,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,Republican St & Westlake Ave N,EL-01,SLU-04,Short-Term Pass Holder,NULL,NULL
138647,9/2/15 12:21,9/2/15 13:01,SEA00445,SEA,00445,2380.879,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Short-Term Pass Holder,NULL,NULL
80398,5/27/15 21:28,5/27/15 21:54,SEA00315,SEA,00315,1554.908,1st Ave & Marion St,Pier 69 / Alaskan Way & Clay St,CBD-05,WF-01,Short-Term Pass Holder,NULL,NULL
65965,4/29/15 19:02,4/29/15 19:08,SEA00471,SEA,00471,384.008,3rd Ave & Broad St,PATH / 9th Ave & Westlake Ave,BT-01,SLU-07,Annual Member,Male,1969
54643,4/5/15 17:35,4/5/15 18:04,SEA00132,SEA,00132,1706.459,REI / Yale Ave N & John St,3rd Ave & Broad St,SLU-01,BT-01,Short-Term Pass Holder,NULL,NULL
113376,7/21/15 9:39,7/21/15 9:58,SEA00075,SEA,00075,1130.426,Summit Ave & E Denny Way,Occidental Park / Occidental Ave S & S Washington St,CH-01,PS-04,Annual Member,Female,1979
131554,8/19/15 14:04,8/19/15 14:13,SEA00063,SEA,00063,554.458,2nd Ave & Spring St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,CBD-06,WF-04,Short-Term Pass Holder,NULL,NULL
95491,6/22/15 20:18,6/22/15 21:06,SEA00282,SEA,00282,2866.71,Republican St & Westlake Ave N,Republican St & Westlake Ave N,SLU-04,SLU-04,Short-Term Pass Holder,NULL,NULL
138191,9/1/15 9:17,9/1/15 9:20,SEA00031,SEA,00031,155.268,Summit Ave E & E Republican St,Summit Ave & E Denny Way,CH-03,CH-01,Annual Member,Female,1989
44247,3/7/15 14:46,3/7/15 14:55,SEA00374,SEA,00374,565.197,7th Ave & Union St,7th Ave & Union St,CBD-03,CBD-03,Short-Term Pass Holder,NULL,NULL
134451,8/24/15 14:16,8/24/15 14:21,SEA00328,SEA,00328,306.864,2nd Ave & Pine St,2nd Ave & Spring St,CBD-13,CBD-06,Short-Term Pass Holder,NULL,NULL
110889,7/17/15 12:25,7/17/15 12:29,SEA00168,SEA,00168,251.519,Pine St & 9th Ave,2nd Ave & Pine St,SLU-16,CBD-13,Annual Member,Male,1987
93500,6/19/15 9:44,6/19/15 9:47,SEA00389,SEA,00389,190.411,Summit Ave E & E Republican St,Bellevue Ave & E Pine St,CH-03,CH-12,Annual Member,Male,1983
147393,9/21/15 12:51,9/21/15 13:04,SEA00180,SEA,00180,814.931,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,WF-04,PS-05,Short-Term Pass Holder,NULL,NULL
31071,1/25/15 3:21,1/25/15 3:33,SEA00059,SEA,00059,727.097,E Harrison St & Broadway Ave E,E Pine St & 16th Ave,CH-02,CH-07,Short-Term Pass Holder,NULL,NULL
1503,10/15/14 7:50,10/15/14 8:02,SEA00437,SEA,00437,718.345,Pine St & 9th Ave,City Hall / 4th Ave & James St,SLU-16,CBD-07,Annual Member,Female,1965
61654,4/20/15 17:17,4/20/15 17:34,SEA00301,SEA,00301,1047.086,2nd Ave & Vine St,2nd Ave & Pine St,BT-03,CBD-13,Short-Term Pass Holder,NULL,NULL
65745,4/29/15 8:50,4/29/15 9:00,SEA00395,SEA,00395,609.05,Cal Anderson Park / 11th Ave & Pine St,9th Ave N & Mercer St,CH-08,DPD-01,Annual Member,Male,1975
76124,5/19/15 20:41,5/19/15 20:54,SEA00075,SEA,00075,810.777,City Hall / 4th Ave & James St,Seattle University / E Columbia St & 12th Ave,CBD-07,FH-04,Annual Member,Male,1976
111481,7/18/15 10:04,7/18/15 10:08,SEA00231,SEA,00231,260.745,Bellevue Ave & E Pine St,Westlake Ave & 6th Ave,CH-12,SLU-15,Annual Member,Male,1965
49413,3/22/15 16:53,3/22/15 16:56,SEA00221,SEA,00221,190.313,Summit Ave E & E Republican St,REI / Yale Ave N & John St,CH-03,SLU-01,Annual Member,Male,1983
67520,5/2/15 22:42,5/2/15 22:56,SEA00361,SEA,00361,847.572,Harvard Ave & E Pine St,2nd Ave & Vine St,CH-09,BT-03,Short-Term Pass Holder,NULL,NULL
145671,9/17/15 8:57,9/17/15 9:07,SEA00242,SEA,00242,593.594,Pier 69 / Alaskan Way & Clay St,1st Ave & Marion St,WF-01,CBD-05,Annual Member,Other,1957
34860,2/8/15 7:28,2/8/15 7:38,SEA00455,SEA,00455,603.157,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,Burke Museum / E Stevens Way NE & Memorial Way NE,UD-01,UW-02,Annual Member,Male,1992
116163,7/25/15 16:59,7/25/15 17:17,SEA00351,SEA,00351,1031.213,Occidental Park / Occidental Ave S & S Washington St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,PS-04,WF-04,Short-Term Pass Holder,NULL,NULL
65037,4/27/15 15:20,4/27/15 15:23,SEA00286,SEA,00286,209.684,Burke Museum / E Stevens Way NE & Memorial Way NE,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,UW-02,UW-10,Annual Member,Male,1977
124842,8/8/15 13:34,8/8/15 14:37,SEA00481,SEA,00481,3786.31,3rd Ave & Broad St,2nd Ave & Pine St,BT-01,CBD-13,Short-Term Pass Holder,NULL,NULL
89574,6/13/15 7:03,6/13/15 7:20,SEA00332,SEA,00332,995.264,15th Ave E & E Thomas St,Key Arena / 1st Ave N & Harrison St,CH-05,SLU-19,Annual Member,Female,1987
122377,8/4/15 15:31,8/4/15 15:53,SEA00417,SEA,00417,1314.926,9th Ave N & Mercer St,Eastlake Ave E & E Allison St,DPD-01,EL-05,Short-Term Pass Holder,NULL,NULL
1346,10/14/14 17:56,10/14/14 18:02,SEA00433,SEA,00433,355.725,2nd Ave & Spring St,Occidental Park / Occidental Ave S & S Washington St,CBD-06,PS-04,Annual Member,Male,1986
156268,10/11/15 15:04,10/11/15 16:03,SEA00392,SEA,00392,3592.374,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,UD-01,UD-01,Short-Term Pass Holder,NULL,NULL
84831,6/4/15 19:20,6/4/15 19:24,SEA00179,SEA,00179,275.955,Bellevue Ave & E Pine St,Summit Ave E & E Republican St,CH-12,CH-03,Annual Member,Male,1981
149022,9/24/15 17:25,9/24/15 17:32,SEA00122,SEA,00122,391.724,2nd Ave & Pine St,3rd Ave & Broad St,CBD-13,BT-01,Annual Member,Male,1985
10828,11/7/14 18:11,11/7/14 18:25,SEA00448,SEA,00448,846.258,9th Ave N & Mercer St,E Blaine St & Fairview Ave E,DPD-01,EL-03,Short-Term Pass Holder,NULL,NULL
35657,2/10/15 18:09,2/10/15 18:14,SEA00086,SEA,00086,256.607,PATH / 9th Ave & Westlake Ave,2nd Ave & Vine St,SLU-07,BT-03,Annual Member,Male,1987
27722,1/12/15 18:01,1/12/15 18:12,SEA00125,SEA,00125,638.131,PATH / 9th Ave & Westlake Ave,3rd Ave & Broad St,SLU-07,BT-01,Short-Term Pass Holder,NULL,NULL
49382,3/22/15 15:04,3/22/15 16:13,SEA00184,SEA,00184,4124.034,Dexter Ave & Denny Way,12th Ave & NE Campus Pkwy,SLU-18,UD-04,Short-Term Pass Holder,NULL,NULL
105384,7/9/15 8:56,7/9/15 9:01,SEA00212,SEA,00212,300.62,Summit Ave & E Denny Way,7th Ave & Union St,CH-01,CBD-03,Annual Member,Male,1981
22868,12/19/14 20:38,12/19/14 20:42,SEA00264,SEA,00264,278.938,Cal Anderson Park / 11th Ave & Pine St,E Harrison St & Broadway Ave E,CH-08,CH-02,Annual Member,Female,1988
58176,4/15/15 19:16,4/15/15 19:44,SEA00031,SEA,00031,1694.495,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Annual Member,Male,1976
89744,6/13/15 13:07,6/13/15 13:16,SEA00460,SEA,00460,542.784,PATH / 9th Ave & Westlake Ave,7th Ave & Union St,SLU-07,CBD-03,Annual Member,Male,1987
132572,8/21/15 9:26,8/21/15 9:35,SEA00116,SEA,00116,549.191,15th Ave E & E Thomas St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,CH-05,EL-01,Annual Member,Female,1988
142117,9/9/15 22:24,9/9/15 22:37,SEA00185,SEA,00185,758.728,Key Arena / 1st Ave N & Harrison St,2nd Ave & Blanchard St,SLU-19,BT-05,Annual Member,Male,1965
4365,10/21/14 7:01,10/21/14 7:18,SEA00112,SEA,00112,1009.727,Frye Art Museum / Terry Ave & Columbia St,2nd Ave & Vine St,FH-01,BT-03,Annual Member,Male,1988
38962,2/19/15 10:29,2/19/15 10:46,SEA00374,SEA,00374,1042.821,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2nd Ave & Spring St,WF-04,CBD-06,Short-Term Pass Holder,NULL,NULL
139120,9/3/15 13:45,9/3/15 14:34,SEA00099,SEA,00099,2935.073,NE 47th St & 12th Ave NE,NE 47th St & 12th Ave NE,UD-07,UD-07,Short-Term Pass Holder,NULL,NULL
144926,9/15/15 17:21,9/15/15 17:29,SEA00233,SEA,00233,471.874,Union St & 4th Ave,PATH / 9th Ave & Westlake Ave,CBD-04,SLU-07,Annual Member,Male,1989
123748,8/6/15 17:24,8/6/15 20:00,SEA00430,SEA,00430,9374.329,12th Ave & NE Campus Pkwy,12th Ave & NE Campus Pkwy,UD-04,UD-04,Short-Term Pass Holder,NULL,NULL
42071,3/1/15 10:57,3/1/15 13:43,SEA00082,SEA,00082,9999.13,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-04,WF-04,Short-Term Pass Holder,NULL,NULL
63407,4/23/15 16:18,4/23/15 16:21,SEA00079,SEA,00079,185.243,E Harrison St & Broadway Ave E,Summit Ave & E Denny Way,CH-02,CH-01,Annual Member,Male,1982
118814,7/30/15 6:43,7/30/15 6:48,SEA00084,SEA,00084,260.272,REI / Yale Ave N & John St,PATH / 9th Ave & Westlake Ave,SLU-01,SLU-07,Annual Member,Male,1987
38624,2/18/15 12:41,2/18/15 12:47,SEA00187,SEA,00187,348.219,Dexter Ave & Denny Way,REI / Yale Ave N & John St,SLU-18,SLU-01,Annual Member,Male,1962
101233,7/3/15 9:16,7/3/15 9:28,SEA00266,SEA,00266,709.194,Westlake Ave & 6th Ave,Republican St & Westlake Ave N,SLU-15,SLU-04,Short-Term Pass Holder,NULL,NULL
22047,12/16/14 16:09,12/16/14 16:15,SEA00390,SEA,00390,360.154,REI / Yale Ave N & John St,Pine St & 9th Ave,SLU-01,SLU-16,Annual Member,Male,1987
52674,3/31/15 15:34,3/31/15 15:41,SEA00230,SEA,00230,362.374,15th Ave E & E Thomas St,Harvard Ave & E Pine St,CH-05,CH-09,Annual Member,Female,1962
17628,11/28/14 14:50,11/28/14 15:05,SEA00101,SEA,00101,956.202,Harvard Ave & E Pine St,Eastlake Ave E & E Allison St,CH-09,EL-05,Annual Member,Female,1965
98753,6/28/15 19:41,6/28/15 19:50,SEA00170,SEA,00170,565.206,2nd Ave & Pine St,Pier 69 / Alaskan Way & Clay St,CBD-13,WF-01,Annual Member,Male,1975
102974,7/5/15 14:54,7/5/15 15:18,SEA00381,SEA,00381,1443.693,Key Arena / 1st Ave N & Harrison St,2nd Ave & Pine St,SLU-19,CBD-13,Short-Term Pass Holder,NULL,NULL
47908,3/18/15 8:27,3/18/15 8:35,SEA00252,SEA,00252,455.606,12th Ave & E Mercer St,E Pine St & 16th Ave,CH-15,CH-07,Annual Member,Female,1983
32695,1/29/15 16:26,1/29/15 16:31,SEA00182,SEA,00182,314.449,Harvard Ave & E Pine St,Seattle University / E Columbia St & 12th Ave,CH-09,FH-04,Annual Member,Male,1977
55578,4/8/15 9:55,4/8/15 10:11,SEA00242,SEA,00242,965.527,2nd Ave & Pine St,E Pine St & 16th Ave,CBD-13,CH-07,Short-Term Pass Holder,NULL,NULL
57154,4/12/15 14:06,4/12/15 14:11,SEA00478,SEA,00478,348.648,REI / Yale Ave N & John St,Westlake Ave & 6th Ave,SLU-01,SLU-15,Annual Member,Female,1987
28361,1/14/15 18:43,1/14/15 18:54,SEA00078,SEA,00078,675.512,7th Ave & Union St,2nd Ave & Vine St,CBD-03,BT-03,Annual Member,Female,1986
97585,6/26/15 13:58,6/26/15 14:14,SEA00092,SEA,00092,941.946,Cal Anderson Park / 11th Ave & Pine St,Occidental Park / Occidental Ave S & S Washington St,CH-08,PS-04,Short-Term Pass Holder,NULL,NULL
98708,6/28/15 17:40,6/28/15 17:48,SEA00108,SEA,00108,436.949,Westlake Ave & 6th Ave,2nd Ave & Pine St,SLU-15,CBD-13,Annual Member,Male,1968
26717,1/8/15 14:53,1/8/15 15:49,SEA00355,SEA,00355,3394.646,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,EL-01,EL-01,Annual Member,Male,1967
105435,7/9/15 10:25,7/9/15 11:34,SEA00353,SEA,00353,4134.121,Westlake Ave & 6th Ave,2nd Ave & Spring St,SLU-15,CBD-06,Short-Term Pass Holder,NULL,NULL
63059,4/22/15 17:44,4/22/15 17:49,SEA00379,SEA,00379,272.788,PATH / 9th Ave & Westlake Ave,9th Ave N & Mercer St,SLU-07,DPD-01,Annual Member,Male,1974
120844,8/2/15 10:08,8/2/15 10:12,SEA00444,SEA,00444,203.288,15th Ave E & E Thomas St,E Pine St & 16th Ave,CH-05,CH-07,Annual Member,Female,1980
112723,7/20/15 6:06,7/20/15 6:15,SEA00337,SEA,00337,543.995,2nd Ave & Vine St,Occidental Park / Occidental Ave S & S Washington St,BT-03,PS-04,Annual Member,Male,1960
138720,9/2/15 15:59,9/2/15 16:22,SEA00456,SEA,00456,1378.941,3rd Ave & Broad St,Union St & 4th Ave,BT-01,CBD-04,Short-Term Pass Holder,NULL,NULL
67608,5/3/15 11:16,5/3/15 11:32,SEA00213,SEA,00213,950.466,6th Ave S & S King St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,ID-04,WF-04,Short-Term Pass Holder,NULL,NULL
136696,8/28/15 11:24,8/28/15 12:02,SEA00364,SEA,00364,2254.392,15th Ave E & E Thomas St,Eastlake Ave E & E Allison St,CH-05,EL-05,Short-Term Pass Holder,NULL,NULL
37741,2/15/15 18:33,2/15/15 18:49,SEA00210,SEA,00210,974.132,2nd Ave & Spring St,2nd Ave & Blanchard St,CBD-06,BT-05,Short-Term Pass Holder,NULL,NULL
23362,12/22/14 16:37,12/22/14 16:45,SEA00213,SEA,00213,459.03,Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Spring St,PS-04,CBD-06,Annual Member,Female,1989
152143,10/1/15 8:54,10/1/15 9:00,SEA00379,SEA,00379,338.832,2nd Ave & Vine St,Republican St & Westlake Ave N,BT-03,SLU-04,Short-Term Pass Holder,NULL,NULL
41914,2/28/15 17:07,2/28/15 17:11,SEA00269,SEA,00269,262.496,3rd Ave & Broad St,Key Arena / 1st Ave N & Harrison St,BT-01,SLU-19,Short-Term Pass Holder,NULL,NULL
117206,7/27/15 17:10,7/27/15 17:19,SEA00210,SEA,00210,584.548,Lake Union Park / Valley St & Boren Ave N,Dexter Ave & Denny Way,SLU-17,SLU-18,Short-Term Pass Holder,NULL,NULL
123752,8/6/15 17:26,8/6/15 17:33,SEA00238,SEA,00238,433.035,6th Ave & Blanchard St,Dexter Ave N & Aloha St,BT-04,SLU-02,Annual Member,Male,1967
